roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,0.2158464577018648,0.18648607411141083,0.03888503447314505
L_STG_posterior,AVH-,23,0.1858601622738997,0.17115098239926446,0.03568744681027535
L_STG_posterior,HC,25,0.2748254250297323,0.27976947730597695,0.05595389546119539
L_STG_anterior,AVH+,23,0.05803951967168236,0.17718143832471125,0.0369448837940669
L_STG_anterior,AVH-,23,0.025845187519509233,0.15453281777210975,0.03222231995034018
L_STG_anterior,HC,25,0.032211347995769406,0.2126882150686883,0.04253764301373766
L_MTG,AVH+,23,0.08746034919053237,0.2386418396065079,0.049760263355053416
L_MTG,AVH-,23,0.12472143105571837,0.2028181929424456,0.042290516661508785
L_MTG,HC,25,0.1316688125510426,0.17982780208330224,0.03596556041666045
L_IFG_triangularis,AVH+,23,0.014198909533898468,0.11202856026026388,0.023359569600326615
L_IFG_triangularis,AVH-,23,-0.021154076000569004,0.14333218950561347,0.029886827510280593
L_IFG_triangularis,HC,25,0.03681358051437296,0.1686952819041923,0.03373905638083846
L_IFG_opercularis,AVH+,23,-0.03561884429022345,0.11203306452627822,0.023360508804715352
L_IFG_opercularis,AVH-,23,-0.02480135416389321,0.12353061945672875,0.025757914734127276
L_IFG_opercularis,HC,25,-0.02156720457598566,0.1168540291927463,0.02337080583854926
L_STS,AVH+,23,0.1397598798002076,0.16113598814931931,0.033599176152463064
L_STS,AVH-,23,0.15068747737930843,0.18249476007501064,0.03805278796552729
L_STS,HC,25,0.1844459154065698,0.17220769169213274,0.034441538338426544
R_STG_posterior,AVH+,23,0.1771400852989324,0.2871241563271884,0.05986952521819563
R_STG_posterior,AVH-,23,0.14210535124774376,0.2174965434790075,0.045351164322964335
R_STG_posterior,HC,25,0.22594768841657786,0.2114418594048825,0.0422883718809765
R_STG_anterior,AVH+,23,0.07493021986649737,0.13785783692341225,0.028745346089261072
R_STG_anterior,AVH-,23,-0.026037944101161607,0.1387382139406173,0.028928917387152902
R_STG_anterior,HC,25,0.06660804607253522,0.17977209796359825,0.03595441959271965
R_MTG,AVH+,23,0.10145421855704256,0.1340245191783091,0.027946044085746302
R_MTG,AVH-,23,0.11966962148352049,0.21357655563281847,0.044533790354105374
R_MTG,HC,25,0.13674056060962816,0.15965769646040748,0.03193153929208149
R_IFG,AVH+,23,0.07214224494686361,0.14309497125203255,0.02983736408513153
R_IFG,AVH-,23,0.0278065237045338,0.17760234311830184,0.03703264851047625
R_IFG,HC,25,0.06827529745701795,0.12877930026347467,0.025755860052694934
L_Heschl,AVH+,23,0.1341000678141775,0.15867138073534065,0.033085269981656576
L_Heschl,AVH-,23,0.08597908211471159,0.13515966741634272,0.028182738855467807
L_Heschl,HC,25,0.1447297470328174,0.23938204184574324,0.04787640836914865
R_Heschl,AVH+,23,0.14196140927210835,0.1736674781127093,0.03621217243944144
R_Heschl,AVH-,23,0.09975275322876924,0.17455736324244855,0.036397726315847125
R_Heschl,HC,25,0.16986158292976364,0.16965623322631357,0.033931246645262716
